No,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,label,score
16,Thu Nov 09 06:28:06 +0000 2023,1722501297671381384,Anies modern sebagai gubernur. Beliau menggagas program transportasi dan layanan publik berbasis online dan teknologi. #AniesModern,0,0,0,0,in,1487010983612751874,1722501297671381384,septaprifant,https://twitter.com/septaprifant/status/1722501297671381384,positive,0.8867844939231873
17,Thu Nov 09 04:58:09 +0000 2023,1722478661616730151,"10 Momen Greget Akal-Akalan Driver Ojol Lagi Kepepet, Seketika Muncul Ide-ide Aneh: Seiring dengan perkembangan teknologi dan ketersediaan akses internet yang semakin mudah, jasa ojek online atau ojol telah menjadi pilihan transportasi yang sangat… https://t.co/9Eh6arLG0Y https://t.co/JaC6xK7Wmw",0,0,0,0,in,117686358,1722478661616730151,otosia,https://twitter.com/otosia/status/1722478661616730151,negative,0.9950730204582214
18,Thu Nov 09 04:27:08 +0000 2023,1722470853580095628,"@collegemenfess barter nder, aku jg butuh responden yg pake transportasi online",0,1,0,0,in,170547233,1722470361655332903,pwerincess,https://twitter.com/pwerincess/status/1722470853580095628,neutral,0.9993670582771301
19,Thu Nov 09 04:01:38 +0000 2023,1722464438442438783,@wonpiw pake aplikasi transportasi online dari tahun 2018 sama ada di usia produktif pik :D,0,2,0,0,in,170547233,1722432031009996839,pwerincess,https://twitter.com/pwerincess/status/1722464438442438783,neutral,0.9996962547302246
20,Thu Nov 09 03:51:44 +0000 2023,1722461948095414653,Program transportasi online dan teknologi dalam layanan publik yang diperkenalkan Anies Modern membuat hidup warga Jakarta makin keren. #AniesModern,0,0,0,0,in,1469810036096614403,1722461948095414653,Zaman5758,https://twitter.com/Zaman5758/status/1722461948095414653,positive,0.9994770884513855
21,Thu Nov 09 03:47:27 +0000 2023,1722460867705676268,"Lewat program-program macem transportasi online dan pemanfaatan teknologi buat masyarakat, Anies Modern berhasil bikin hidup warga Jakarta lebih upgraded. #AniesModern",0,0,0,0,in,1471721876816814083,1722460867705676268,jarwokoh,https://twitter.com/jarwokoh/status/1722460867705676268,positive,0.9918973445892334
22,Wed Nov 08 10:46:31 +0000 2023,1722203940912247189,"Paling gamau naik angkat cicaheum-ciroyom, dulu balik jam 8 sendirian (ini belum ada transportasi online) supirnya udah yang iya halteu sampe"" aku kaya yaudah lagian udah malem juga, dan sial banget diturunin di lampu merah pasteur dan banyak anak punk jujur gue takut banget-""",0,1,0,0,in,1146283103821991936,1722203940912247189,95Johnnyxcrush,https://twitter.com/95Johnnyxcrush/status/1722203940912247189,negative,0.9998376369476318
23,Wed Nov 08 09:39:23 +0000 2023,1722187049443422525,"Gojek Langsung Investigasi dan Putus Mitra Ojol Pelaku Kekerasan pada Penumpang di Bali  Pihak penyedia jasa layanan transportasi online, Gojek langsung mengambil tindakan tegas memutus hubungan kemitraan dengan seorang driver bernama Adek Hadinata Sentanu B Putra https://t.co/CbgWQHX04H",0,1,0,0,in,1379110019203956738,1722187049443422525,TransonlineTV,https://twitter.com/TransonlineTV/status/1722187049443422525,neutral,0.9995836615562439
24,Wed Nov 08 07:08:56 +0000 2023,1722149187431899225,I'm sorry dulu itu bukan gak benci cuma gak ada opsi... buktinya sekarang kalo gak ada kendaraanpun aku mending naik transportasi online gak pake angkot...,0,0,0,0,in,54866984,1722149187431899225,JibehArcher,https://twitter.com/JibehArcher/status/1722149187431899225,negative,0.999321699142456
25,Wed Nov 08 04:40:42 +0000 2023,1722111883006894406,@TriAditha Yah terpaksa saja naik angkot karena murah &amp  alternatif transportasi lain mahal (ojek online) &amp  bus kota (di bogor biskita) sedikit ribet karena cashless &amp  titik haltenya jauh dari tempat tujuan,0,0,0,0,in,1003040820499369984,1721916166166524141,biehuun,https://twitter.com/biehuun/status/1722111883006894406,negative,0.9921504259109497
26,Wed Nov 08 01:51:15 +0000 2023,1722069238448300464,@FiersaBesari Apaan. Dulu pas SMP - SMA ingat banget gak mau ambil anak sekolah karena ongkosnya murah. Pas lagi kosong juga ndak mau ambil. Trus karma datang dalam bentuk transportasi online. 🥲,0,0,2,1,in,34537216,1721766352451670019,sir_amirsyarif,https://twitter.com/sir_amirsyarif/status/1722069238448300464,negative,0.9977586269378662
27,Wed Nov 08 00:05:52 +0000 2023,1722042717029695533,Gunakan transportasi online Grindo mulai sekarang dan selanjutnya. Pahami video penjelasannya. Silahkan daftar diri menggunakan link tertera di atas. Semua yang bergabung berhak sejahtera bersama Grindo.  https://t.co/Z2fVBNzoC9,0,0,0,1,in,1443446976633212935,1722042717029695533,aku_cinta_45,https://twitter.com/aku_cinta_45/status/1722042717029695533,neutral,0.9987296462059021
28,Wed Nov 08 00:01:53 +0000 2023,1722041716667224450,"Perhatian-perhatian yang lagi dinas atau stay di Makassar Beberapa pertanyaan dari  customers mengenai, apakah The One Massage free transportasi? Jawabannya IYA!  Segeralah Booking sekarang!  Pijat traditional online untuk pria area Makassar https://t.co/nNurrUwnjB",0,0,0,0,in,1534365008003575808,1722041716667224450,pijatmakassar04,https://twitter.com/pijatmakassar04/status/1722041716667224450,neutral,0.9890351891517639
29,Tue Nov 07 16:23:20 +0000 2023,1721926318651331035,"Harusnya Transportasi online nambahin fiture  Gak usah basa basi "" di aplikasinya""",0,0,0,0,in,2320267045,1721926318651331035,duplodulpo,https://twitter.com/duplodulpo/status/1721926318651331035,neutral,0.9970977306365967
30,Tue Nov 07 15:08:26 +0000 2023,1721907466190131366,"Driver transportasi online kenapa dah sekarang banyak yg ngeselin bgt. Kejauhan gak mau diambil, udah gitu kalo gak mau ambil ya bilang kek dari awal ini diem aja gue udh nunggu, kalo gak dichat gak akan bilang",0,1,0,0,in,2263900411,1721907466190131366,cloudxysky,https://twitter.com/cloudxysky/status/1721907466190131366,negative,0.9997745156288147
31,Tue Nov 07 13:37:44 +0000 2023,1721884642272547240,Setiap hari nya ada pesanan 1 atau 2 box lalu aku dihadapkan dengan dijual motor ku oleh orang tua ku demi apapun stress parah karena itu transportasi aku berjualan online lalu aku mendapatkan tawaran magang namun orang tua ku tidak mengizinkan surat izin org tua dr pihak magang,0,1,0,0,in,1651120240959561730,1721884639240094043,NingsihPel65953,https://twitter.com/NingsihPel65953/status/1721884642272547240,negative,0.9997928738594055
32,Tue Nov 07 11:28:42 +0000 2023,1721852172139389038,@tanyakanrl naik transportasi umum/ojek online,0,0,0,0,in,1290146626988736518,1721849811555758287,crushonlmark,https://twitter.com/crushonlmark/status/1721852172139389038,neutral,0.9996680021286011
33,Tue Nov 07 08:03:49 +0000 2023,1721800609442205752,"Saatnya transportasi online mulai kasih fitur Quiet Ride"" termasuk w gasuka banget diajak ngobrol bukannya sombong tp hah hoh hah hoh di motor cape banget demiapaaaa😭""",0,0,0,1,in,73326852,1721800609442205752,pandamwulan,https://twitter.com/pandamwulan/status/1721800609442205752,negative,0.5735741257667542
34,Tue Nov 07 03:34:51 +0000 2023,1721732921520984323,"Urusan transportasi di Bandung emang sampah. Integrasi angkutan umum gak jelas. Geng motor merajalela. Pak ogah di setiap persimpangan. Macetnya gak karuan. Yang parah, ada beberapa kecamatan yang zona merah taksi online dan ojek online.",0,1,0,0,in,1405858228970291200,1721732921520984323,ssjazila,https://twitter.com/ssjazila/status/1721732921520984323,negative,0.9998319149017334
35,Tue Nov 07 03:15:43 +0000 2023,1721728106673959131,@SangKaisar723a @GrabID Dia lupa transportasi online skr menjamur. Ada puluhan alternatif naik transportasi online,0,0,0,0,in,1639134981669920768,1721521266941723105,SutanPadoAlam,https://twitter.com/SutanPadoAlam/status/1721728106673959131,neutral,0.9996930360794067
36,Tue Nov 07 02:13:54 +0000 2023,1721712550113615904,"Istri Founder Diduga Dukung Israel, Ini Pernyataan Resmi Grab  Layanan transportasi online Grab ramai diprotes karena istri dari salah satu pendirinya, Anthony Tan, dianggap mendukung Israel. Akibatnya, netizen menyerukan untuk memboikot bisnis jasa ini. https://t.co/bFJ6W5h5YR",0,1,0,1,in,1379110019203956738,1721712550113615904,TransonlineTV,https://twitter.com/TransonlineTV/status/1721712550113615904,neutral,0.9878790974617004
37,Tue Nov 07 01:36:45 +0000 2023,1721703202423468291,"Tukerin koin kamu di aplikasi TIKI buat dapetin voucher digital transportasi online. Makin hemat saat berpergian, banyak voucher grab transport senilai 1OK, 20K, 50K, 75K, dan 100K yang pastinya bikin kamu makin untung! https://t.co/GDn2qAneej",0,1,0,0,in,1618445060001116163,1721703202423468291,tiki_tegal,https://twitter.com/tiki_tegal/status/1721703202423468291,positive,0.9996278285980225
38,Tue Nov 07 00:27:37 +0000 2023,1721685801732563009,"@fauzibijak @DamriIndonesia @KAI121 untuk transportasi publik, bandung memang lemah banget.. 5 dekade bergantung ke angkot. apalagi kalo udah di bandung timur, sukur2 ga zomer angkutan online.. jd ya memang turun/naik di padalarang udah paling bener, kecuali emang tujuannya ke timur.",0,0,0,0,in,72004620,1721501099553894872,erry_aone,https://twitter.com/erry_aone/status/1721685801732563009,negative,0.9998196959495544
39,Mon Nov 06 16:55:39 +0000 2023,1721572061590778027,"#UninstallGrabNow   Bukan kah banyak pilihan dan pindah aplikasi lain untuk menggunakan transportasi online  Tidak perlu di sebut satu persatu, namun apa yang menjadi tranding di x Twitter bukan karena tanpa alasan  #UninstallGrabNow  Kami Berdiri Bersama Palestina ☝️🇲🇨🇵🇸",1,0,3,4,in,959188001258483713,1721572061590778027,Mdh_Sna,https://twitter.com/Mdh_Sna/status/1721572061590778027,positive,0.9866059422492981
40,Mon Nov 06 13:13:44 +0000 2023,1721516215926247527,"sudah semrawut ngalor ngidul, merampas akun yang tadinya layanan transportasi online ke ranah paylater dan GoPinjam dimana masyarakat sedang bersemangat memerangi pinjol tapi @GoTo @gojekindonesia malah memberanakan pinjol dgn GoPinjam nya,",0,1,0,3,in,1704267490384392192,1721516021272698936,ngopipagi923441,https://twitter.com/ngopipagi923441/status/1721516215926247527,negative,0.9998371601104736
41,Mon Nov 06 10:11:35 +0000 2023,1721470373416653138,"Tukerin koin kamu di aplikasi TIKI buat dapetin voucher digital transportasi online. Makin hemat saat berpergian, banyak voucher grab transport senilai 1OK, 20K, 50K, 75K, dan 100K yang pastinya bikin kamu makin untung!  Kirim paket pake TIKI dan gabung jadi member SOBATIKI untuk… https://t.co/RQQFX7yBDJ",0,0,4,26,in,775891037650718722,1721470373416653138,IdTiki,https://twitter.com/IdTiki/status/1721470373416653138,positive,0.9997085928916931
42,Mon Nov 06 09:34:37 +0000 2023,1721461071431778533,Kontroversi baru-baru ini muncul seputar layanan transportasi online Grab yan#kontroversigrab #israeldangrab #klarifikasigrab #dukungankemanusiaan #boikotgrab #solidaritasgaza #responssosialperusahaan #hakasasimanusia #perdamaiandunia #tanggungjawabsosialperusahaan #ekings #viral https://t.co/nM7L1E5m8X,0,0,0,0,in,1704830683234082816,1721461071431778533,ekingsjuara2,https://twitter.com/ekingsjuara2/status/1721461071431778533,neutral,0.5074154138565063
43,Mon Nov 06 05:59:42 +0000 2023,1721406986598908409,@DoankWarto naik onta aja mereka yg mau boikot jasa transportasi online,0,0,0,6,in,1624043780880887808,1721373069242233013,B0ku_Tar0,https://twitter.com/B0ku_Tar0/status/1721406986598908409,neutral,0.9996888637542725
44,Mon Nov 06 05:11:32 +0000 2023,1721394865492345150,@NenkMonica @GrabID Banyak alternatif lain. Layanan transportasi online skr menjamur. Boikot saja grab,0,0,0,0,in,1639134981669920768,1721337405939356091,SutanPadoAlam,https://twitter.com/SutanPadoAlam/status/1721394865492345150,negative,0.9893286824226379
45,Mon Nov 06 04:15:54 +0000 2023,1721380863601156105,Data GMV Transportasi dan Makanan Online di Indonesia pada 2023 https://t.co/fA8K84sZPQ https://t.co/0fTZahlWcd,0,0,0,1,in,1405348002101792772,1721380863601156105,DataindonesiaId,https://twitter.com/DataindonesiaId/status/1721380863601156105,neutral,0.9996598958969116
46,Sun Nov 05 13:50:39 +0000 2023,1721163117248565587,"@tanyakanrl rumaaah, transportasi masih bisa dihandle pake apl online",0,0,0,0,in,1375483967025999877,1721088544096358770,duniaarchy,https://twitter.com/duniaarchy/status/1721163117248565587,neutral,0.9992625117301941
47,Sun Nov 05 11:23:08 +0000 2023,1721125995460346121,"@tanyakanrl Rumah donk, buat ditinggalin jangka panjang. Klo mobil mah kebutuhan yg gak butuh2 bgt, masih ada motor atau transportasi umum dan online buat bepergian.",0,0,0,0,in,4901864238,1721088544096358770,alterdeego,https://twitter.com/alterdeego/status/1721125995460346121,negative,0.9965323209762573
48,Sun Nov 05 06:42:46 +0000 2023,1721055435514581358,"braw! Sebagai mahasiswa/i di malang menurut kalian berapa sih budget bulanan standar (all in makan, jajan, kos, shodaqoh, beli buku, ikut les online, transportasi, healing, dan aplikasi hiburan premium)",1,5,0,1,in,2970636770,1721055435514581358,ub_mfs,https://twitter.com/ub_mfs/status/1721055435514581358,neutral,0.9647830128669739
49,Sun Nov 05 06:18:12 +0000 2023,1721049253941059616,"Berharap masyarakat yang memiliki kemampuan untuk naik transportasi online atau kendaraan pribadi berkurang, demi mengurai kemacetan Jakata? Apakah kami sekalian bawa sabun dan shampo serta baju salin agar bisa mandi di stasiun LRT? Hemat air.",0,0,0,0,in,554984049,1721049253941059616,carolineranst,https://twitter.com/carolineranst/status/1721049253941059616,positive,0.9981095790863037
50,Sun Nov 05 04:41:25 +0000 2023,1721024897777041432,Awas ini 4 kasus pembunuhan driver transportasi online https://t.co/d6lG7yaF9b,0,0,0,0,in,589142416,1721024897777041432,alfianandrian_,https://twitter.com/alfianandrian_/status/1721024897777041432,neutral,0.9995808005332947
51,Sat Nov 04 16:50:25 +0000 2023,1720845970001494251,Malam ini transportasi online Jakarta gak siap menampung demand pelanggan akibat hujan berkepanjangan🥵,0,1,0,0,in,165693617,1720845970001494251,laperrmak,https://twitter.com/laperrmak/status/1720845970001494251,neutral,0.9994242191314697
52,Sat Nov 04 16:45:32 +0000 2023,1720844741804511295,"@ayunda_risu All of them!!  I mean pengalaman pertama memang berkesan kan ya hehe.  can go back home safely"" Yang ga bisa pulang karena transportasi online penuh mana suaranyaa 🤣""",0,0,0,0,in,1284539955717406720,1720836789588607291,azandia,https://twitter.com/azandia/status/1720844741804511295,positive,0.9994694590568542
53,Sat Nov 04 16:03:32 +0000 2023,1720834170992410947,"(Tubuh Sehat Dengan Pijat Tradisional Panggilan Online 24 Jam)  Pijat khusus panggilan Online 24 Jam Non-Stop, yang akan dilayani oleh beberapa terapis wanita ramah, menarik, profesional &amp  ahli dibidangnya, hanya cukup dengan 250.000 saja/90menit + sudah berikut transportasi. https://t.co/MLqUJPA5dr",0,0,0,1,in,2909720244,1720834170992410947,anapijat2,https://twitter.com/anapijat2/status/1720834170992410947,positive,0.986594557762146
54,Sat Nov 04 14:42:17 +0000 2023,1720813724158808418,hai aku mau sedikit cerita tentang pengalaman bad naik transportasi online(TO) kemarin,0,1,0,0,in,1547897657192230912,1720813724158808418,hugdaisies,https://twitter.com/hugdaisies/status/1720813724158808418,neutral,0.9975866079330444
55,Sat Nov 04 13:08:28 +0000 2023,1720790112399925302,"Awas! Ini 4 Kasus Pembunuhan Driver Transportasi Online  Kehadiran layanan ojol, taksol, &amp  driver online lainnya telah memberikan kemudahan bagi masyarakat dlm hal transportasi. Namun, di balik kenyamanan tersebut, ada sejumlah kasus yg mengerikan terkait pembunuhan driver online https://t.co/vQtNnXTTPL",0,1,0,0,in,1379110019203956738,1720790112399925302,TransonlineTV,https://twitter.com/TransonlineTV/status/1720790112399925302,negative,0.9954426288604736
56,Sat Nov 04 13:01:29 +0000 2023,1720788354533642249,"Istri Anthony Tan Founder Grab Diduga Beri Dukungan untuk Israel, Netizen Ancam Blokir Aplikasi  Istri founder Grab, Chloe Tong diduga memberi dukungan untuk Israel. Hal ini membuat banyak netizen yang mengancam untuk memblokir aplikasi transportasi online ini. https://t.co/zec58U01r6",0,1,1,2,in,1379110019203956738,1720788354533642249,TransonlineTV,https://twitter.com/TransonlineTV/status/1720788354533642249,neutral,0.9993807077407837
57,Sat Nov 04 12:27:18 +0000 2023,1720779753807126613,"Tak Mau Kalah dari Grab, Maxim Hadir di Kabupaten Wonosobo  Layanan transportasi dalam jaringan (online) Maxim menyatakan secara resmi hadir di Kabupaten Wonosobo pada Jumat, 3 November 2023. https://t.co/J0KbOoSkz7",0,1,0,0,in,1379110019203956738,1720779753807126613,TransonlineTV,https://twitter.com/TransonlineTV/status/1720779753807126613,neutral,0.999451220035553
58,Sat Nov 04 06:02:40 +0000 2023,1720682955755200572,Bersama carryfy? Pasti nyaman! Carryfy siap mendengarkan keluhan serta membantu setiap permasalahan kamu 🙏🏻🥰  ---------------------------  #Carryfy #PintuKemanaSaja #PastiSatuHariSampai #p2mw #goEverywhere #p2mw2023 #belmawadikti  #transportasionline #sulawesiselatan https://t.co/y40ZA6cN7L,0,0,0,0,in,1612644436873478146,1720682955755200572,carryfy_,https://twitter.com/carryfy_/status/1720682955755200572,positive,0.9960569143295288
59,Sat Nov 04 06:00:57 +0000 2023,1720682523573813505,Awas! Ini 4 Kasus Pembunuhan Driver Transportasi Online https://t.co/mqEwx71vz3 via @transonlinecom,0,0,0,0,in,1177889535272734720,1720682523573813505,transonlinecom,https://twitter.com/transonlinecom/status/1720682523573813505,neutral,0.9970245957374573
60,Sat Nov 04 02:07:05 +0000 2023,1720623670165393547,"lebih iri ke ongkir tiap mesen online, sama transportasi umum nya juga sih. disini wajib punya kendaraan biar bisa kerja plss aku maw kerja tapi gapunya motor tuh bingung perginya gimanaa males angkotan",0,0,0,0,in,1624665164242100228,1720623670165393547,chigowcha,https://twitter.com/chigowcha/status/1720623670165393547,negative,0.9998660087585449
61,Fri Nov 03 15:32:14 +0000 2023,1720463903828955313,"Aku selalu pesan transportasi online ya pas udah bener2 siap, ngga relate sama yg masih dandan tapi dah pesen. Tapi entah kenapa yg sering kek gini cewe (punya prinsip ngga mau nungguin kek ratu)  *Keinget dulu pernah debat sama ex gara2 soal waktu pesan transportasi online wkwk",0,0,0,0,in,1226746871105765378,1720463903828955313,kurama19_,https://twitter.com/kurama19_/status/1720463903828955313,negative,0.9880847334861755
62,Fri Nov 03 11:52:03 +0000 2023,1720408493667336505,@RadioElshinta Sama sama melayani masyarakat tapi yg berlogo pemerintah harusnya jadi pengayom menyediakan tempat naik turun transportasi online jangan ngambil pajaknya aja tapi tidak di kasih solusi @gojekindonesia @GrabID @dishubjakarta @DKIJakarta,1,1,0,0,in,1345291099296862209,1720272580538757446,Taufik80045241,https://twitter.com/Taufik80045241/status/1720408493667336505,neutral,0.9899938702583313
63,Fri Nov 03 10:12:19 +0000 2023,1720383397464576461,"Pengen travelling? Belanja? Jajan? Atau bayar tagihan bulanan? Semua bisa!   Dapatkan DISKON di berbagai merchant F&amp B, Travel, Transportasi Online, serta e-Commerce pilihan hanya dengan bayar pakai Kartu Debit BTN VISA!  Promo ini berlaku hingga 31 Desember 2023. https://t.co/91OgoCvviI",0,2,4,30,in,2890776397,1720383397464576461,bankbtn,https://twitter.com/bankbtn/status/1720383397464576461,neutral,0.5927886962890625
64,Fri Nov 03 09:58:43 +0000 2023,1720379972521734324,"Tujuan 1 : Krisna Toko Oleh-Oleh  Lokasi nya hanya berjarak sekitar 3 km aja dr bandara.  Kalau pake transportasi online, bsa kena 100k. Maka gunakan Trans Metro Dewata. Apalagi haltenya ada d depan Krisna. Di sini tersedia berbagai oleh2: pie susu, kacang disko, kopi, souvernir. https://t.co/DTeWzkCkbe",0,1,0,0,in,1659067717,1720379901591896365,zakariyaaf,https://twitter.com/zakariyaaf/status/1720379972521734324,positive,0.9951332211494446
65,Fri Nov 03 05:27:19 +0000 2023,1720311671644917906,Dating history:  - Pelajar SMP (pas gue SMP) - Pelajar SMP (pas gue SMP) - Pelajar SMA (pas gue SMA) - Pelajar SMA (pas gue SMA) - Mahasiswa Sastra Jepang - Pegawai Transportasi Online - Gue gak tau kerjaannya 🤷‍♂️ (tapi dia tau kerjaan gue),1,2,0,3,in,761108168,1720311671644917906,yayiwai,https://twitter.com/yayiwai/status/1720311671644917906,negative,0.9627360701560974
66,Fri Nov 03 03:41:44 +0000 2023,1720285102981414980,Sekarang pesan masakan Padang Minang Rayo bisa via @blineindonesia aplikas jasa transportasi online (ojol)i asli Bangkalan. #nasiapdang #ojol #kulinerbangkalan #Food https://t.co/gLUGe4F6d6,0,0,0,1,in,1683004136521109506,1720285102981414980,MinangRayo,https://twitter.com/MinangRayo/status/1720285102981414980,neutral,0.9995324611663818
67,Thu Nov 02 23:58:41 +0000 2023,1720228969193386151,Pengemudi transportasi online yang tergabung dalam Forum Komunikasi Online Jember Bersatu (FKOJB) menuntut pemerintah mau menyediakan ruang mediasi dengan ojek pangkalan (konvensional). ----- https://t.co/4yRMibsAtk https://t.co/E3iMQVqHj4,0,0,0,1,in,104459733,1720228969193386151,kissfmjember,https://twitter.com/kissfmjember/status/1720228969193386151,neutral,0.9993647933006287
68,Thu Nov 02 14:06:38 +0000 2023,1720079975838310782,"@karinyoo Oversupply labor jg di abuse di penyedia jasa transportasi online. Komisi persenan untuk penyedia yg tertulis maksimal 20% cuma bualan, prakteknya komisi diambil dari pendapatan driver/mitra itu lebih dari 30%. Kok bisa???"" Balik lagi ke regulasi standar nya yg mereka permainkan""",0,1,0,0,in,1626944392975253504,1719880769483796569,Goldaenjoyer,https://twitter.com/Goldaenjoyer/status/1720079975838310782,negative,0.9998413324356079
69,Thu Nov 02 13:55:36 +0000 2023,1720077197451645427,"@TukangParaf @pnsdaerahjelata @landofkingp Pdhl rumah ga mampu beli area kantor, bisanya  perum pinggiran. UPT dari sebuah kementerian, jarak ke mamakota jauh, transportasi umum off maupun online amat sgt terbatas opsinya, SBM sekitar 600 PP. Realnya sewa mobil 1x jalan dah kena 600 🙃 landing soetta disuruh ngesot x ya",0,1,0,3,in,1682793417108230144,1719724731090313711,yaudamah,https://twitter.com/yaudamah/status/1720077197451645427,negative,0.999687910079956
